penalt;running time
4767;0.16
4707;0.188
3030;0.202
3595;0.254
2224;0.406
3668;0.469
5965;0.485
2194;0.501
780;0.531
3573;0.6
3632;0.608
4497;0.623
5295;0.669
5148;0.676
5485;0.708
2672;0.714
5921;0.728
4145;0.754
4065;0.76
2110;0.779
3689;0.793
4972;0.825
3042;0.831
2842;0.882
6467;0.889
6384;0.946
5405;0.959
4618;0.965
4187;0.977
5689;0.996
4316;1.003
1958;1.009
2940;1.042
4967;1.1
2510;1.106
3876;1.119
3130;1.156
2076;1.176
2780;1.203
4451;1.209
2526;1.222
4235;1.248
4354;1.267
4496;1.286
4977;1.299
1252;1.364
5474;1.389
4618;1.435
6377;1.442
8079;1.455
4349;1.468
3992;1.474
4732;1.487
6430;1.499
3836;1.54
2271;1.586
6765;1.627
3384;1.64
3752;1.647
4283;1.673
3836;1.712
7092;1.724
2638;1.737
3913;1.776
2978;1.801
3366;1.808
6498;1.837
3750;1.863
3968;1.895
3146;1.907
4671;1.987
4274;2.026
2976;2.065
5400;2.078
3838;2.117
3804;2.151
5134;2.158
6913;2.237
2392;2.25
5026;2.263
4415;2.283
6189;2.316
4110;2.323
3902;2.329
5003;2.354
990;2.388
5509;2.401
498;2.408
6603;2.421
5236;2.428
3464;2.434
3230;2.461
3222;2.507
1854;2.521
3786;2.542
3689;2.632
2405;2.646
6078;2.651
3096;2.709
3169;2.728
5187;2.773
2724;2.787
3644;2.819
1296;2.85
2701;2.914
3482;3.017
4203;3.03
2481;3.068
5811;3.075
4015;3.081
2684;3.088
5994;3.095
3813;3.152
5278;3.172
4327;3.184
5064;3.223
3962;3.231
4130;3.243
6355;3.249
6103;3.289
2978;3.294
2502;3.332
3731;3.365
4504;3.371
3956;3.417
4791;3.436
5608;3.449
1472;3.463
2462;3.482
3142;3.488
4888;3.521
4951;3.534
1096;3.54
1145;3.547
1932;3.556
3476;3.634
2958;3.641
5461;3.654
4482;3.731
2438;3.737
3745;3.77
6484;3.782
1832;3.801
5446;3.808
3858;3.847
5143;3.894
3690;3.952
7642;3.958
2289;4.01
1908;4.036
1816;4.05
3991;4.057
3690;4.069
4346;4.077
5232;4.102
3344;4.128
2850;4.134
1901;4.147
1909;4.167
3432;4.259
3349;4.305
3352;4.351
5516;4.369
2602;4.455
2877;4.487
5462;4.526
5056;4.588
2064;4.604
3276;4.63
4532;4.674
5983;4.7
6006;4.745
5218;4.765
4304;4.833
3459;4.852
5569;4.866
4104;4.879
6394;4.898
7034;4.918
2452;4.925
2690;4.945
4056;4.965
2170;4.98
4360;5.028
4011;5.034
4834;5.047
6028;5.068
2552;5.074
3275;5.088
1879;5.095
1709;5.101
640;5.121
3764;5.141
2998;5.174
4470;5.2
703;5.233
3673;5.258
2966;5.272
2747;5.311
5361;5.317
2754;5.35
3120;5.357
1459;5.363
6218;5.376
2130;5.441
4057;5.448
2991;5.46
2368;5.467
5504;5.486
3873;5.506
3308;5.513
2778;5.52
2871;5.526
5078;5.532
3717;5.546
2370;5.566
6154;5.585
3049;5.605
1692;5.612
2452;5.645
3918;5.659
3703;5.665
3799;5.684
4284;5.69
2816;5.704
2632;5.743
6193;5.788
1284;5.822
2966;5.829
3212;5.835
505;5.861
4977;5.868
4492;5.892
2721;5.899
1833;5.959
1470;5.965
3735;5.973
3253;5.999
2260;6.012
4576;6.038
2490;6.078
5638;6.085
2960;6.098
1630;6.127
2552;6.144
2654;6.191
4182;6.218
2454;6.259
3322;6.307
6011;6.381
2636;6.436
1748;6.456
5649;6.501
5095;6.508
3722;6.514
5294;6.521
2636;6.534
3737;6.56
2406;6.601
4404;6.614
1541;6.621
2846;6.647
3215;6.687
2410;6.694
3280;6.721
5112;6.8
5133;6.806
