penalt;running time
12550;0.015
11814;0.041
12258;0.051
11830;0.061
11620;0.07
11963;0.082
11237;0.091
11868;0.102
11528;0.111
11760;0.118
11771;0.126
11922;0.133
11235;0.14
11604;0.147
11466;0.155
11726;0.163
12060;0.174
11082;0.183
11966;0.19
11905;0.198
11479;0.205
12109;0.212
12308;0.218
11366;0.225
11910;0.232
11822;0.239
11576;0.246
11332;0.251
11622;0.257
10648;0.262
11372;0.268
11724;0.274
11512;0.28
11579;0.286
11438;0.292
12106;0.299
11610;0.304
11710;0.31
11507;0.318
11621;0.324
11422;0.33
11559;0.337
11915;0.343
11340;0.349
11174;0.355
11568;0.361
11755;0.368
12165;0.374
11708;0.379
11673;0.385
11628;0.391
10846;0.396
11400;0.401
11563;0.407
11049;0.413
11973;0.418
12054;0.423
11572;0.429
11750;0.434
11274;0.44
11625;0.445
11821;0.45
11327;0.456
11717;0.461
11667;0.466
11556;0.472
11710;0.478
11630;0.483
11718;0.489
11527;0.495
11775;0.501
11774;0.506
12254;0.513
11232;0.518
12061;0.524
11919;0.53
11383;0.536
11728;0.542
12200;0.547
11532;0.553
11620;0.559
11913;0.564
11312;0.57
11911;0.575
11372;0.581
12113;0.587
11344;0.591
12158;0.598
11582;0.603
11810;0.608
11962;0.614
11773;0.619
11094;0.625
11962;0.63
12203;0.635
11818;0.641
10993;0.646
11969;0.652
11775;0.657
10981;0.663
11762;0.669
12256;0.674
11722;0.68
11537;0.685
11663;0.691
11036;0.697
11528;0.702
12109;0.708
11768;0.714
12058;0.719
11913;0.724
10936;0.73
11856;0.736
11510;0.743
12158;0.747
11634;0.752
11824;0.757
12060;0.762
10804;0.766
11866;0.771
11916;0.776
12107;0.781
11314;0.785
11676;0.79
11906;0.795
11436;0.799
12306;0.804
11292;0.809
11612;0.814
11580;0.818
12162;0.823
11240;0.828
11139;0.833
11826;0.837
10946;0.842
11662;0.847
12207;0.851
11521;0.856
11861;0.861
11754;0.866
11611;0.87
12064;0.875
12257;0.88
11432;0.885
11417;0.889
11366;0.894
11671;0.899
11466;0.903
11780;0.907
11377;0.912
11861;0.917
11525;0.922
11722;0.927
11130;0.931
12159;0.936
11378;0.941
11952;0.946
11170;0.95
12060;0.954
11667;0.959
11472;0.964
12112;0.968
11669;0.973
11332;0.978
11956;0.983
11300;0.987
11917;0.992
11613;0.997
12202;1.002
11586;1.006
11772;1.011
12000;1.015
11818;1.02
11909;1.025
11476;1.029
12012;1.034
11561;1.039
11774;1.044
12116;1.048
11515;1.052
11527;1.057
12014;1.062
11070;1.066
11476;1.072
11566;1.076
11811;1.08
11571;1.085
11462;1.09
11290;1.094
11826;1.098
11824;1.103
10991;1.108
11419;1.113
11764;1.117
11717;1.121
11576;1.126
11033;1.131
12159;1.136
11766;1.141
11532;1.145
11631;1.149
11667;1.154
11430;1.159
11097;1.164
11511;1.168
11710;1.173
11445;1.177
11288;1.183
11771;1.188
12009;1.193
11769;1.197
11470;1.202
11425;1.207
12160;1.211
11621;1.216
11394;1.222
11871;1.226
11858;1.23
12156;1.235
11280;1.24
11093;1.244
11820;1.249
11960;1.254
11670;1.258
12112;1.263
11731;1.267
11772;1.272
11956;1.277
11465;1.281
11728;1.285
10559;1.291
11822;1.295
11322;1.299
11577;1.304
11380;1.309
11292;1.314
11820;1.318
11716;1.324
11579;1.329
11522;1.333
11628;1.337
10956;1.342
11864;1.346
11856;1.352
11917;1.356
12051;1.36
11484;1.365
11488;1.37
11909;1.375
11679;1.379
11466;1.383
10575;1.388
11964;1.393
11484;1.398
