penalt;running time
10567;6.005
356;6.055
1065;6.312
1206;6.519
462;6.582
434;6.696
323;6.766
914;6.822
625;6.896
782;6.964
1594;7.083
712;7.254
306;7.274
590;7.311
470;7.372
1693;7.427
1356;7.542
1262;7.711
1090;7.823
213;7.84
902;7.879
650;7.939
616;7.995
612;8.062
820;8.119
1134;8.289
721;8.346
776;8.459
1642;8.516
1545;8.861
800;8.918
914;8.975
804;9.095
584;9.152
873;9.264
612;9.321
707;9.38
793;9.613
760;9.727
428;10.017
641;10.131
1799;10.186
434;10.423
1560;10.536
494;10.595
664;10.709
582;10.766
1603;10.881
1032;10.939
357;11.057
724;11.171
1869;11.284
487;11.342
873;11.457
1595;11.516
484;11.573
632;11.692
1086;11.978
1003;12.035
505;12.21
870;12.266
790;12.504
500;12.618
1004;12.677
748;12.796
535;12.853
814;12.908
499;13.193
1390;13.25
870;13.362
1079;13.419
1511;13.587
502;13.816
1814;13.873
1523;13.929
754;14.157
1546;14.214
718;14.272
1647;14.469
666;14.641
574;14.697
874;14.753
508;14.869
1605;14.928
2160;15.041
581;15.212
757;15.269
857;15.444
1042;15.5
536;15.557
696;15.613
1616;15.726
496;15.956
657;16.014
1622;16.245
654;16.361
1627;16.48
594;16.591
906;16.648
688;16.709
1774;16.772
1033;16.951
712;17.235
711;17.523
721;17.939
575;18.357
536;18.474
690;18.541
708;18.597
773;18.653
1072;18.828
740;18.887
781;19.058
888;19.172
1656;19.346
594;19.408
612;19.522
895;19.58
926;19.868
1870;20.323
1350;20.379
686;20.493
1300;20.662
678;20.718
775;20.775
1112;20.83
588;20.942
1441;21.113
626;21.17
834;21.45
597;21.81
330;21.868
838;21.926
560;22.153
773;22.273
1223;22.336
446;22.392
1014;22.505
459;22.731
1223;22.788
850;23.014
669;23.069
856;23.239
1048;23.295
519;23.462
1017;23.575
946;23.632
729;23.688
567;23.745
595;23.972
212;24.054
495;24.142
1046;24.203
498;24.315
734;24.372
714;24.428
903;24.487
724;24.543
725;24.599
1666;24.778
1091;24.895
2165;25.066
536;25.124
1363;25.181
427;25.294
1066;25.475
342;25.589
902;25.702
838;25.765
1318;25.82
710;25.934
1728;25.991
587;26.047
966;26.346
535;26.404
846;26.461
1008;26.574
624;26.631
566;26.689
1080;26.746
586;26.804
1194;27.048
662;27.199
1724;27.347
1507;27.577
1062;27.663
864;27.752
481;27.835
560;28.129
708;28.258
1574;28.32
2640;28.387
640;28.452
1650;28.528
1010;28.592
551;28.908
2089;28.973
543;29.034
680;29.091
764;29.384
1199;29.56
590;29.623
895;29.69
902;29.877
871;30.002
883;30.065
1713;30.122
1067;30.182
651;30.296
788;30.476
610;30.533
1059;30.592
721;30.839
802;31.148
314;31.218
962;31.348
570;31.558
578;31.629
1933;31.691
390;31.761
1691;32.003
602;32.255
871;32.347
629;32.603
1514;32.757
808;32.825
1710;33.05
810;33.122
665;33.286
601;33.364
706;33.45
1175;33.729
726;33.793
1871;33.853
733;34.081
1646;34.161
1294;34.24
530;34.467
977;34.544
1368;34.724
732;34.893
205;34.919
715;35.155
564;35.232
1603;35.412
1564;35.568
684;35.73
899;35.899
670;36.053
530;36.121
652;36.192
737;36.267
730;36.339
1597;36.403
624;36.474
364;36.621
780;36.842
724;37.07
909;37.151
1729;37.335
1736;37.422
758;37.506
1347;37.593
697;37.839
820;37.917
669;38.006
1111;38.17
897;38.378
636;38.503
672;38.565
530;38.622
864;38.735
606;38.913
1176;38.974
887;39.146
543;39.204
804;39.261
781;39.321
1407;39.435
543;39.548
1605;39.851
859;39.968
632;40.025
1626;40.261
855;40.321
748;40.377
768;40.489
528;40.546
1487;40.603
1708;40.659
927;40.942
1244;41.204
558;41.261
1359;41.431
674;41.487
1618;41.655
716;41.713
774;41.831
1208;41.893
919;42.006
712;42.062
760;42.117
1129;42.343
547;42.4
1477;42.569
523;42.627
1476;42.683
641;43.122
711;43.247
612;43.425
1464;43.482
942;43.537
1249;43.599
609;43.767
1243;43.823
200;43.881
732;43.94
682;43.996
389;44.166
610;44.399
852;44.46
729;44.525
599;44.695
774;44.869
1306;44.927
853;45.04
844;45.098
632;45.268
716;45.552
1692;45.785
556;45.902
1394;46.016
637;46.194
719;46.251
446;46.442
1694;46.498
1176;46.555
1930;46.612
1028;46.895
480;46.957
1780;47.071
653;47.126
1868;47.181
620;47.298
583;47.579
1155;47.635
748;47.691
911;47.807
529;47.864
448;47.977
416;48.093
726;48.149
195;48.187
792;48.317
1612;48.43
873;48.487
911;48.608
650;49.119
953;49.176
893;49.232
453;49.289
622;49.345
886;49.401
633;49.461
1675;49.575
1603;49.744
870;49.915
550;49.971
1424;50.03
670;50.332
690;50.402
1562;50.685
1781;50.748
628;50.864
596;51.423
1738;51.505
556;51.672
491;51.89
1808;52.032
1625;52.231
541;52.889
472;53.173
897;53.247
1842;53.662
680;53.824
