penalt;running time
11400;0.015
9768;0.047
10764;0.06
10274;0.074
10166;0.087
10216;0.098
10486;0.11
10293;0.12
10859;0.13
10622;0.141
10772;0.153
10716;0.166
10809;0.176
10437;0.185
10470;0.194
11103;0.204
10382;0.213
10956;0.224
10415;0.234
10172;0.243
10562;0.253
10468;0.265
10436;0.275
10616;0.286
10671;0.297
10677;0.308
10376;0.318
10666;0.329
10561;0.34
11007;0.352
10486;0.362
10475;0.373
10810;0.383
9993;0.395
10808;0.406
10809;0.417
10464;0.427
10238;0.438
10517;0.449
9740;0.458
10123;0.469
10914;0.479
11063;0.489
10531;0.499
10332;0.51
10476;0.519
10519;0.526
10331;0.534
10181;0.541
10724;0.549
10330;0.556
10726;0.564
10367;0.571
10912;0.578
10190;0.586
10660;0.593
9368;0.6
10427;0.607
10805;0.614
10956;0.621
10717;0.629
10913;0.637
10170;0.645
10715;0.653
11059;0.66
10368;0.667
10806;0.676
10768;0.684
10476;0.691
10616;0.699
10579;0.705
10812;0.713
10913;0.721
9491;0.728
10083;0.735
9934;0.743
10477;0.752
10766;0.757
9943;0.764
11058;0.771
10812;0.776
10607;0.783
10073;0.789
11006;0.795
10605;0.802
10916;0.807
10614;0.815
10562;0.821
10909;0.826
10381;0.832
10719;0.839
10314;0.845
10870;0.852
10164;0.857
10339;0.864
10412;0.87
10764;0.876
9840;0.882
10722;0.889
10373;0.895
10622;0.902
10102;0.908
10720;0.914
10770;0.92
10270;0.927
10769;0.934
10557;0.939
10179;0.946
10092;0.952
9872;0.958
10393;0.964
9869;0.97
10474;0.977
10512;0.983
10183;0.989
10912;0.995
10757;1.001
9982;1.007
10616;1.013
11012;1.02
10176;1.026
10529;1.032
11017;1.039
10485;1.045
10580;1.051
10055;1.058
10464;1.064
10528;1.071
10240;1.077
10116;1.083
9849;1.09
10621;1.095
10431;1.102
10386;1.109
10628;1.115
10614;1.121
9969;1.128
10751;1.134
10334;1.139
11060;1.146
10335;1.152
11106;1.159
10235;1.165
10756;1.173
10473;1.178
10372;1.185
9788;1.191
10151;1.197
10718;1.203
10256;1.209
10088;1.215
10232;1.221
10727;1.228
10479;1.234
10419;1.24
10713;1.247
9812;1.253
10462;1.26
10677;1.266
10516;1.272
11158;1.278
10957;1.284
10314;1.29
10856;1.297
10311;1.303
10707;1.308
10822;1.314
10045;1.321
10717;1.327
10386;1.333
10368;1.339
10571;1.345
10620;1.351
