penalt;running time
11450;0.015
10861;0.048
10622;0.062
10863;0.074
10284;0.088
10610;0.1
10522;0.111
10625;0.125
10285;0.138
10564;0.149
10518;0.165
10362;0.177
9814;0.188
10018;0.198
10778;0.207
10630;0.219
10616;0.229
10807;0.238
10562;0.248
11007;0.257
10810;0.268
10513;0.277
10666;0.288
10178;0.299
10574;0.31
10536;0.321
10615;0.333
10132;0.344
10282;0.354
10907;0.365
10332;0.376
10912;0.387
10361;0.399
10297;0.408
10679;0.42
10190;0.43
10043;0.441
11114;0.451
10628;0.462
10813;0.472
10271;0.483
10413;0.495
10664;0.505
10143;0.515
10234;0.526
10816;0.536
10572;0.545
10724;0.552
11007;0.56
11207;0.568
10513;0.574
10811;0.582
10310;0.589
10706;0.596
10436;0.605
10572;0.611
10622;0.619
11010;0.626
10618;0.633
10283;0.641
10655;0.648
10664;0.655
10149;0.662
10812;0.67
10757;0.678
10525;0.685
10718;0.693
10668;0.7
10176;0.708
10770;0.715
10708;0.722
10558;0.73
11058;0.737
10528;0.744
10476;0.752
10767;0.759
10620;0.766
10722;0.774
10014;0.781
10232;0.787
11258;0.792
9938;0.799
9771;0.805
10380;0.811
10616;0.817
10816;0.823
10709;0.829
10864;0.836
10531;0.842
10612;0.848
10474;0.854
10182;0.861
10236;0.866
10368;0.873
9834;0.879
10909;0.884
10378;0.891
10712;0.897
10867;0.903
10453;0.909
10573;0.915
10720;0.922
10322;0.928
10282;0.934
10280;0.941
11101;0.947
10902;0.953
10957;0.958
9782;0.965
10531;0.973
10420;0.979
10777;0.986
10288;0.991
10076;0.998
10483;1.004
10107;1.01
10613;1.016
11053;1.022
10188;1.028
10620;1.035
10818;1.041
10143;1.047
10382;1.053
10318;1.059
10555;1.066
10762;1.073
10706;1.079
10858;1.085
10278;1.091
10384;1.097
10912;1.103
10909;1.109
10904;1.116
10469;1.121
11151;1.128
10328;1.134
10320;1.14
10817;1.147
10359;1.153
10572;1.159
10912;1.166
10766;1.172
10071;1.181
10917;1.186
11003;1.192
10273;1.198
11114;1.205
10721;1.211
10573;1.217
10054;1.223
10817;1.23
10378;1.236
10772;1.242
10525;1.249
10556;1.255
10115;1.261
10434;1.267
10376;1.273
10162;1.28
10387;1.286
10911;1.292
10718;1.298
10866;1.305
10666;1.311
10677;1.317
10172;1.323
10906;1.33
10224;1.335
10725;1.342
10517;1.348
10859;1.354
10712;1.36
10572;1.367
9950;1.373
9910;1.379
10518;1.385
11060;1.391
10869;1.397
10129;1.403
9924;1.409
10705;1.415
10768;1.421
9942;1.428
10192;1.434
10524;1.44
10232;1.447
10759;1.453
10406;1.459
10431;1.465
10262;1.471
10093;1.478
10813;1.484
10721;1.491
10617;1.497
10821;1.503
10322;1.51
10280;1.516
10918;1.522
10532;1.529
10368;1.536
10484;1.543
10468;1.549
10175;1.556
10520;1.562
10758;1.568
10724;1.575
9957;1.581
10381;1.587
10764;1.595
10910;1.601
10420;1.607
10575;1.614
10824;1.62
10775;1.625
10580;1.631
10772;1.638
10622;1.645
10670;1.651
10724;1.656
10370;1.662
10341;1.669
9801;1.675
10574;1.681
10280;1.687
9940;1.693
10666;1.7
10185;1.706
10578;1.713
9862;1.718
10216;1.725
10479;1.731
10860;1.737
10766;1.744
10218;1.75
10573;1.757
10162;1.763
11205;1.769
10767;1.775
10772;1.782
10810;1.788
10144;1.794
9888;1.8
10667;1.807
10509;1.814
10663;1.819
10564;1.826
10525;1.832
10869;1.838
9965;1.844
10418;1.851
10865;1.857
10669;1.863
10914;1.869
