penalt;running time
5827;0.218
6185;0.393
4848;0.482
5100;0.548
3780;0.583
6102;0.626
3709;0.634
4718;0.657
4689;0.664
4356;0.685
3863;0.707
6155;0.715
3701;0.721
3877;0.747
4946;0.759
6543;0.777
5094;0.791
4760;0.804
2982;0.811
6259;0.818
6405;0.825
5553;0.837
5320;0.85
4928;0.863
1781;0.907
2136;0.958
4552;0.965
3259;0.983
4202;1.027
6508;1.033
6180;1.04
3028;1.07
6880;1.09
4629;1.145
6780;1.157
6086;1.2
1884;1.206
3018;1.219
3280;1.244
3686;1.282
8185;1.294
5792;1.306
6033;1.325
2752;1.331
4113;1.342
7675;1.367
3882;1.404
6324;1.411
4806;1.423
4588;1.436
5675;1.459
4581;1.466
4373;1.477
3595;1.484
6261;1.496
3607;1.502
3953;1.526
2028;1.539
8244;1.552
6115;1.571
5936;1.583
2504;1.596
5220;1.608
5477;1.619
3509;1.638
6316;1.656
2502;1.68
5180;1.706
6855;1.718
2378;1.742
4831;1.766
6181;1.773
6284;1.779
8166;1.815
3845;1.891
5155;1.934
4316;1.996
5534;2.002
3750;2.014
3429;2.02
3215;2.038
3476;2.044
5782;2.069
2872;2.129
3341;2.155
7538;2.173
5236;2.18
2370;2.198
4684;2.205
4287;2.216
4845;2.241
4566;2.291
2470;2.297
2489;2.303
7198;2.328
5494;2.34
5005;2.351
4770;2.364
4394;2.375
8638;2.399
3326;2.405
6245;2.412
5658;2.417
8028;2.423
4984;2.43
2204;2.455
4988;2.467
5042;2.491
2672;2.522
6283;2.534
3633;2.564
6367;2.57
6721;2.584
4639;2.609
5268;2.646
3994;2.701
2902;2.707
7054;2.714
6105;2.739
4377;2.745
3264;2.776
2850;2.782
4294;2.789
2934;2.807
2915;2.838
2522;2.844
4010;2.869
6809;2.875
3833;2.914
4254;2.957
4823;2.963
3095;2.988
4247;3.006
7613;3.012
5790;3.018
6022;3.024
2936;3.036
1751;3.074
3279;3.099
3231;3.111
2716;3.141
3356;3.153
1583;3.166
5445;3.191
6505;3.209
5378;3.229
5266;3.234
4216;3.241
5285;3.247
5875;3.253
4548;3.314
6671;3.334
6153;3.346
4252;3.359
6207;3.389
3724;3.414
4247;3.42
5314;3.426
4460;3.463
4816;3.482
5330;3.495
3715;3.506
4558;3.525
5551;3.555
3024;3.561
4082;3.622
1697;3.646
3437;3.659
4384;3.714
4556;3.751
1410;3.763
2544;3.837
4542;3.848
5409;3.861
5384;3.867
2608;3.873
4142;3.923
6120;3.941
1338;3.947
4141;3.954
9116;3.984
1855;4.009
3106;4.014
4478;4.02
5405;4.045
2328;4.07
5956;4.089
5673;4.125
4748;4.132
2699;4.138
4426;4.199
2105;4.23
4558;4.267
2526;4.292
3289;4.31
1652;4.335
4265;4.346
4004;4.359
5021;4.414
4005;4.42
6622;4.491
4747;4.529
4694;4.553
7206;4.571
2438;4.576
1863;4.589
1945;4.61
2040;4.616
2545;4.649
2546;4.668
2838;4.708
2473;4.747
4176;4.78
6794;4.813
2484;4.858
2634;4.87
3894;4.895
1747;4.908
3339;4.946
1815;4.952
3264;4.959
703;4.997
3048;5.009
3030;5.022
3318;5.079
2650;5.144
2677;5.2
1211;5.214
1583;5.233
2771;5.245
1464;5.315
2348;5.322
4153;5.329
4557;5.348
1817;5.354
4499;5.398
2972;5.411
1363;5.423
2365;5.43
2586;5.476
1982;5.481
3444;5.559
2112;5.564
1606;5.603
591;5.61
2578;5.635
2539;5.666
1154;5.693
3223;5.719
618;5.726
3385;5.757
3501;5.764
5043;5.775
1958;5.795
3317;5.801
2688;5.889
2619;5.903
708;5.922
4620;5.948
1927;5.966
2320;5.998
4114;6.029
2987;6.143
2578;6.15
3070;6.176
3949;6.181
3871;6.195
1559;6.201
3307;6.214
4515;6.233
3089;6.271
3082;6.303
2186;6.328
2824;6.36
2556;6.411
2783;6.417
2943;6.423
2698;6.442
5587;6.461
877;6.48
2180;6.493
2308;6.531
1930;6.538
1784;6.556
3281;6.582
1373;6.588
2130;6.614
4438;6.633
3534;6.779
3174;6.792
2768;6.843
2216;6.893
4960;6.906
3870;6.937
3274;6.95
3733;6.976
1843;6.995
3863;7.064
1929;7.071
1315;7.096
3430;7.109
2381;7.134
3075;7.147
2325;7.185
2654;7.192
2406;7.198
3355;7.205
3558;7.211
1888;7.224
3412;7.294
3181;7.325
3749;7.331
2918;7.337
3226;7.356
3126;7.382
2939;7.413
4216;7.432
3616;7.438
2182;7.445
3210;7.464
2582;7.489
3330;7.52
781;7.545
2305;7.558
2422;7.564
3857;7.571
2866;7.602
4290;7.608
3819;7.627
3456;7.647
3178;7.678
2586;7.717
5597;7.724
1363;7.749
1712;7.757
4162;7.795
3551;7.802
3801;7.827
3485;7.84
2046;7.892
5566;7.911
3564;7.956
4376;7.968
2874;7.982
2927;8.001
4626;8.007
4554;8.014
1048;8.059
1640;8.078
4147;8.09
3918;8.11
1868;8.207
1182;8.214
5479;8.233
4098;8.318
4134;8.343
2476;8.349
1310;8.356
2171;8.369
3033;8.408
2395;8.414
2194;8.433
1212;8.44
2241;8.453
2819;8.467
3526;8.538
3978;8.564
3162;8.576
2440;8.622
829;8.704
4354;8.736
1126;8.749
2951;8.775
1992;8.781
3579;8.794
1065;8.925
2104;8.939
1606;8.972
3982;8.992
3190;9.005
2412;9.011
2218;9.037
2880;9.043
2139;9.056
990;9.063
2609;9.096
674;9.109
2212;9.116
1464;9.129
2940;9.136
2749;9.149
3394;9.2
1726;9.224
445;9.24
3110;9.285
1534;9.324
2382;9.342
1776;9.383
1112;9.418
1210;9.439
2576;9.446
1527;9.452
1116;9.589
2665;9.623
2618;9.636
1753;9.669
902;9.71
2289;9.783
2749;9.809
739;9.828
2526;9.854
1328;9.9
859;9.926
1868;9.932
582;9.972
1409;10.038
1756;10.052
1484;10.065
2032;10.091
2832;10.099
2248;10.105
3044;10.196
1640;10.203
2882;10.237
1631;10.249
2196;10.262
2410;10.314
2040;10.379
3200;10.427
1770;10.466
700;10.583
3622;10.603
1260;10.635
1765;10.708
3156;10.72
3010;10.728
1287;10.748
1792;10.826
2276;10.853
3799;10.891
2981;11.029
2171;11.094
1362;11.107
1216;11.194
3051;11.227
1508;11.233
882;11.247
862;11.339
3324;11.345
1013;11.365
1038;11.372
1527;11.398
2917;11.444
2211;11.451
2382;11.464
1856;11.536
973;11.555
2183;11.575
2104;11.653
3466;11.659
2441;11.679
3051;11.718
1230;11.744
4161;11.764
1406;11.816
2187;11.823
666;11.85
1477;11.895
2346;11.908
1683;11.968
2874;11.987
1509;12.014
2617;12.02
1393;12.073
2189;12.086
3523;12.164
1349;12.177
4491;12.204
2367;12.256
2490;12.308
2129;12.361
1401;12.433
963;12.459
1302;12.624
3822;12.643
1308;12.735
1997;12.755
1711;12.781
3854;12.853
1505;12.879
901;12.906
2288;12.945
3022;12.958
992;13.004
789;13.024
2252;13.075
1933;13.088
1747;13.135
1584;13.194
1284;13.232
1240;13.318
820;13.384
662;13.418
1235;13.443
821;13.45
2474;13.457
2053;13.477
1562;13.517
753;13.543
1265;13.57
2541;13.582
2060;13.609
1144;13.623
2529;13.695
785;13.774
848;13.793
2009;13.819
1158;13.887
3011;13.92
1152;14.005
830;14.198
664;14.21
718;14.283
1821;14.447
992;14.553
681;14.58
1463;14.672
1978;14.718
1944;14.731
1147;14.738
1684;14.804
1614;14.81
823;14.817
2834;14.856
2290;14.895
1149;14.902
826;14.915
2858;15.047
2398;15.054
773;15.132
1647;15.205
1206;15.219
2016;15.232
2596;15.417
1999;15.436
965;15.463
1456;15.502
872;15.515
617;15.562
2583;15.646
884;15.765
2822;15.779
1150;15.812
1784;15.838
454;15.845
2094;15.859
1455;15.878
994;15.918
1831;15.944
1917;15.95
516;15.957
872;15.97
3536;15.99
1124;16.004
486;16.149
1030;16.221
3026;16.234
1886;16.392
598;16.48
1982;16.486
1480;16.493
802;16.539
510;16.565
1192;16.605
1802;16.646
1390;16.666
976;16.698
1332;16.705
1555;16.737
918;16.743
3006;16.783
405;16.791
1432;16.837
1807;16.89
2409;16.95
532;16.969
2619;17.054
1310;17.193
808;17.259
1031;17.273
327;17.296
326;17.297
324;17.297
323;17.297
321;17.297
319;17.297
316;17.297
314;17.297
313;17.297
312;17.297
308;17.297
307;17.297
303;17.297
2306;17.35
1537;17.374
667;17.46
2224;17.475
1825;17.545
952;17.77
536;17.778
263;17.87
260;17.87
259;17.87
475;17.968
484;17.982
834;18.028
1316;18.041
846;18.107
1471;18.134
1384;18.233
1710;18.267
1009;18.286
2249;18.292
359;18.463
673;18.622
840;18.681
1822;18.787
919;18.906
1003;19.216
675;19.415
609;19.534
1038;19.632
1216;19.753
964;19.759
1124;19.871
1977;19.987
642;20.001
1154;20.027
770;20.047
541;20.06
1568;20.073
1116;20.114
807;20.153
859;20.292
903;20.312
824;20.399
663;20.459
1176;20.571
762;20.584
1424;20.644
822;20.651
833;20.737
1315;20.829
707;20.862
798;20.914
959;20.974
1412;21.112
1080;21.46
1920;21.48
682;21.521
510;21.771
789;21.961
236;22.183
234;22.183
1406;22.348
593;22.566
796;22.613
1050;22.626
1654;22.711
990;22.719
566;22.784
558;22.876
489;22.93
580;23.114
1581;23.589
893;23.76
460;23.872
854;24.01
655;24.149
796;24.206
841;24.22
1319;24.301
672;24.629
694;24.649
1384;24.854
576;25.249
981;25.275
602;25.539
696;25.67
1142;25.743
616;26.103
579;26.38
895;26.532
540;26.977
658;27.251
656;27.578
470;27.616
518;28.615
432;28.718
1086;29.041
520;29.311
530;29.91
516;30.699
437;31.688
494;31.871
432;31.937
599;32.01
454;32.472
424;32.554
1153;33.589
480;35.312
433;36.569
432;37.647
434;38.642
497;39.343
399;42.289
400;42.779
400;60
