penalt;running time
11450;0.022
5513;0.193
3334;0.339
3189;0.405
3595;0.442
3929;0.48
6765;0.516
5310;0.553
4510;0.595
4284;0.635
5713;0.662
4271;0.685
2918;0.709
5460;0.73
3394;0.751
2441;0.771
5219;0.792
3977;0.812
6723;0.832
4209;0.853
5542;0.873
2332;0.893
4598;0.913
3488;0.935
1608;0.956
2023;0.976
3181;0.997
3542;1.019
2314;1.04
3320;1.059
5421;1.08
2272;1.101
8608;1.121
7098;1.14
4503;1.163
2302;1.183
7808;1.203
4514;1.223
6170;1.244
2322;1.263
3810;1.284
3887;1.306
6347;1.327
3902;1.347
5067;1.367
4049;1.389
4151;1.41
6165;1.43
4315;1.45
5748;1.47
4859;1.491
4154;1.511
6202;1.534
1566;1.553
3162;1.573
4015;1.593
6233;1.613
3988;1.634
5738;1.654
5704;1.674
6329;1.695
4193;1.715
4392;1.736
3353;1.756
3088;1.776
3170;1.796
5766;1.816
4490;1.838
8322;1.859
3307;1.878
2122;1.899
625;1.919
3282;1.939
5518;1.959
4730;1.981
4659;2.003
5972;2.023
4744;2.043
3118;2.064
3927;2.084
2793;2.103
4006;2.125
6897;2.145
5808;2.165
4223;2.185
5178;2.206
5909;2.226
5969;2.246
687;2.267
4314;2.287
2255;2.307
5478;2.327
5872;2.348
5071;2.368
4771;2.388
2992;2.408
4366;2.429
3995;2.45
7740;2.47
4688;2.49
4122;2.509
4122;2.529
3761;2.548
6432;2.571
6646;2.591
7237;2.611
3522;2.631
3958;2.651
5747;2.671
6924;2.691
5196;2.713
5012;2.733
5966;2.752
4002;2.772
4646;2.793
7879;2.813
3645;2.834
6140;2.854
3452;2.874
1984;2.895
3293;2.916
1644;2.936
1850;2.957
3850;2.977
4473;2.999
3821;3.021
3614;3.041
5160;3.062
1671;3.082
3300;3.103
2358;3.123
3143;3.144
4904;3.164
2565;3.184
3249;3.205
4110;3.225
5545;3.245
3902;3.267
3276;3.287
6517;3.308
5021;3.329
2172;3.35
2231;3.369
7770;3.391
3468;3.411
736;3.431
4924;3.452
3396;3.472
7374;3.492
6378;3.513
5152;3.533
5308;3.553
4044;3.574
4039;3.594
3779;3.616
6888;3.635
3995;3.655
4256;3.675
6704;3.695
3956;3.715
6596;3.736
4862;3.757
4349;3.777
3992;3.799
5826;3.819
8629;3.84
4944;3.86
4514;3.88
2774;3.9
5481;3.921
7101;3.942
3272;3.961
4570;3.982
4152;4.002
6568;4.023
3932;4.045
6635;4.064
4335;4.085
3575;4.105
7948;4.125
4423;4.145
7838;4.165
3593;4.185
4482;4.205
4555;4.225
6717;4.246
4132;4.267
1476;4.287
5666;4.308
3742;4.328
1732;4.348
5656;4.368
5400;4.39
4741;4.41
1954;4.431
7355;4.45
6548;4.47
5346;4.492
6426;4.514
3802;4.534
5955;4.554
3922;4.576
3821;4.598
1618;4.619
2290;4.641
2273;4.663
4782;4.684
1873;4.706
2610;4.728
1270;4.749
817;4.77
478;4.793
3845;4.814
5102;4.835
1711;4.856
3430;4.877
3676;4.898
2154;4.919
1193;4.941
3839;4.962
4056;4.983
3316;5.004
1086;5.026
4542;5.048
3486;5.069
3755;5.091
606;5.112
2375;5.133
2035;5.154
3829;5.174
2622;5.195
3263;5.216
1770;5.237
1385;5.26
1830;5.281
4376;5.302
2609;5.322
2717;5.343
5191;5.364
600;5.385
2155;5.408
3234;5.429
1436;5.449
3605;5.47
820;5.492
2815;5.513
4585;5.535
3730;5.557
886;5.578
2888;5.599
1104;5.619
2538;5.64
2675;5.661
2026;5.682
2489;5.704
1546;5.726
2487;5.748
3060;5.769
3304;5.79
1061;5.811
2888;5.832
4976;5.854
3146;5.875
5115;5.896
2230;5.917
2500;5.938
3405;5.959
1587;5.981
4628;6.002
4632;6.024
4384;6.045
1692;6.065
3094;6.086
3005;6.107
3687;6.129
2342;6.151
2164;6.172
3895;6.193
3495;6.213
3138;6.235
2203;6.256
4735;6.278
3433;6.3
2030;6.321
1346;6.342
2097;6.364
580;6.385
2439;6.406
1486;6.427
3066;6.449
3892;6.47
946;6.492
973;6.512
2947;6.533
1858;6.555
3870;6.576
1887;6.597
2926;6.618
1743;6.638
2682;6.659
1740;6.68
3614;6.701
2824;6.722
3488;6.743
1316;6.765
5630;6.786
1274;6.808
1907;6.828
3422;6.85
1001;6.871
843;6.891
3752;6.914
1188;6.935
448;6.957
2534;6.978
1789;6.998
2325;7.021
3066;7.042
2664;7.064
3305;7.085
571;7.107
1014;7.127
3772;7.148
4463;7.169
5427;7.19
3555;7.212
2388;7.232
2612;7.254
1256;7.274
4194;7.296
2195;7.317
3356;7.338
1279;7.36
3396;7.381
3043;7.402
2994;7.423
3656;7.444
782;7.465
2085;7.486
1615;7.508
722;7.529
1718;7.551
4671;7.572
4510;7.592
669;7.614
2882;7.635
1564;7.656
1676;7.678
2556;7.699
1406;7.72
3602;7.74
3014;7.761
3179;7.782
4078;7.804
2970;7.825
2610;7.846
1832;7.866
4193;7.888
3448;7.909
6296;7.929
5635;7.952
966;7.973
2669;7.994
3389;8.015
2747;8.036
2160;8.057
2157;8.077
3602;8.1
4128;8.121
1319;8.142
3036;8.163
4781;8.185
2808;8.206
2198;8.228
5246;8.248
1144;8.27
2390;8.291
2679;8.312
3736;8.333
3620;8.354
1002;8.375
2573;8.399
3523;8.42
2102;8.442
2749;8.464
1972;8.485
1776;8.506
756;8.527
4486;8.548
2885;8.57
2122;8.59
2308;8.612
832;8.633
2130;8.654
4044;8.676
4776;8.697
1479;8.719
1052;8.74
4563;8.762
4861;8.783
574;8.804
2644;8.826
2813;8.847
1741;8.869
3156;8.891
1578;8.912
1644;8.933
2051;8.956
2110;8.978
5292;8.999
1254;9.023
1192;9.045
1788;9.066
2866;9.087
3275;9.108
2094;9.13
949;9.151
602;9.174
1123;9.195
1618;9.217
1797;9.239
1968;9.26
1097;9.282
2155;9.304
1648;9.325
2586;9.348
875;9.368
3861;9.39
2740;9.411
1896;9.432
2980;9.455
1419;9.477
1791;9.498
1873;9.519
313;9.533
1155;9.547
2254;9.571
2760;9.597
1471;9.622
1707;9.647
2301;9.676
1062;9.701
3188;9.728
1997;9.751
774;9.775
460;9.797
2072;9.821
924;9.844
1467;9.866
1132;9.889
1232;9.911
768;9.933
1446;9.956
1812;9.98
556;10.004
2145;10.028
1681;10.051
2398;10.073
2870;10.095
