penalt;running time
3340;0.046
4386;0.153
5453;0.304
2709;0.364
3585;0.42
3384;0.427
1764;0.459
7996;0.467
2819;0.523
4631;0.53
3178;0.566
4467;0.58
5542;0.593
5818;0.612
2857;0.619
3561;0.625
4865;0.671
3648;0.763
1956;0.775
4150;0.788
1905;0.801
1655;0.838
4650;0.854
3127;0.861
4378;0.903
6820;0.919
6570;0.934
5491;0.941
3666;0.949
4471;0.956
2858;0.978
4866;0.985
7874;0.993
4058;1.018
4562;1.051
4616;1.064
5046;1.123
3115;1.149
5014;1.168
4980;1.202
1590;1.273
6314;1.299
1652;1.317
4201;1.325
5647;1.337
4544;1.344
3249;1.363
4689;1.377
3275;1.391
5258;1.403
4424;1.422
7256;1.429
3386;1.454
3876;1.48
3623;1.486
5565;1.499
4904;1.539
4487;1.552
4346;1.565
1946;1.577
4393;1.584
2998;1.609
1722;1.616
2384;1.628
1757;1.635
7438;1.641
7605;1.66
3776;1.667
8180;1.686
4783;1.699
4586;1.738
3036;1.75
3189;1.756
3784;1.763
2390;1.776
5249;1.796
3796;1.808
1622;1.862
4624;1.893
5118;1.899
4534;1.951
6059;1.97
2390;2.01
5416;2.017
4210;2.042
5663;2.061
4585;2.073
5097;2.08
3921;2.087
2333;2.112
6985;2.126
2885;2.152
3725;2.159
5390;2.178
2846;2.232
2346;2.27
7353;2.283
4085;2.318
2150;2.398
7226;2.405
2322;2.425
7321;2.45
3062;2.457
5380;2.463
5282;2.47
3578;2.497
2929;2.556
3110;2.608
3020;2.622
3276;2.629
4042;2.65
5824;2.664
1630;2.717
2714;2.723
5091;2.729
1693;2.743
3366;2.755
6608;2.762
5877;2.775
5807;2.781
3499;2.847
6583;2.854
4240;2.859
4358;2.866
3884;2.872
4571;2.905
3455;2.91
2849;2.924
6267;2.943
6868;2.976
4216;2.983
5822;3.002
5902;3.008
3839;3.014
6554;3.028
5098;3.047
1130;3.059
4228;3.097
4377;3.131
4970;3.151
5532;3.21
2796;3.223
6430;3.237
4143;3.256
4701;3.262
7722;3.276
2734;3.302
6078;3.309
3668;3.321
7045;3.328
4936;3.354
3215;3.426
5337;3.447
3326;3.472
3862;3.478
3076;3.485
4411;3.492
4278;3.542
5538;3.55
1190;3.556
3798;3.598
2601;3.626
3964;3.632
3067;3.645
2581;3.691
2533;3.704
5434;3.711
4751;3.717
6395;3.764
4152;3.799
5032;3.806
4332;3.825
3561;3.838
3172;3.846
2967;3.861
4461;3.876
4265;3.888
3388;3.928
6238;4.001
3424;4.021
3660;4.101
3725;4.108
4298;4.115
6216;4.121
7022;4.128
5437;4.142
