penalt;running time
11450;0.016
2268;0.099
6682;0.152
4538;0.213
3250;0.276
3543;0.336
4669;0.392
2781;0.45
7490;0.504
3409;0.547
4903;0.575
5623;0.604
1228;0.633
4972;0.656
4179;0.68
2272;0.703
1220;0.726
6043;0.747
3149;0.768
3121;0.794
6025;0.818
2460;0.84
4685;0.862
3204;0.886
2636;0.907
934;0.928
3699;0.95
3682;0.971
4030;0.993
762;1.015
3147;1.037
4017;1.058
3591;1.08
7640;1.102
4409;1.123
3074;1.144
6494;1.165
4009;1.187
7069;1.209
5622;1.23
4565;1.251
3968;1.271
4164;1.292
3838;1.313
6754;1.334
3600;1.357
5392;1.38
5386;1.401
4230;1.424
1320;1.445
6731;1.468
4473;1.49
3363;1.513
2503;1.534
3482;1.555
2832;1.578
5570;1.599
5766;1.62
4638;1.642
3668;1.665
4002;1.685
6662;1.706
2678;1.726
4045;1.748
5147;1.769
4073;1.789
4673;1.811
3164;1.832
5720;1.855
2909;1.876
1017;1.897
5147;1.919
2970;1.94
4559;1.963
3595;1.989
7448;2.011
3340;2.033
2094;2.056
4907;2.076
5751;2.099
2708;2.12
950;2.143
4332;2.164
6363;2.185
3330;2.207
3730;2.229
2560;2.25
2350;2.273
3129;2.302
3826;2.324
4495;2.346
6529;2.369
2353;2.39
3848;2.412
2309;2.435
3478;2.459
6511;2.483
5039;2.507
7626;2.53
5713;2.553
5866;2.577
4098;2.601
2479;2.626
1613;2.648
5047;2.67
3136;2.691
1475;2.713
4112;2.735
2110;2.757
954;2.779
4018;2.801
3122;2.823
3997;2.844
2362;2.865
4084;2.888
1495;2.909
1972;2.932
2103;2.953
792;2.974
4694;2.995
4672;3.016
4092;3.038
2529;3.06
4620;3.08
4474;3.103
5751;3.123
4250;3.145
3247;3.167
5692;3.187
1808;3.21
1870;3.233
2877;3.255
3992;3.276
4765;3.299
3504;3.323
3647;3.346
3764;3.368
4791;3.392
3359;3.414
6216;3.435
4892;3.456
1140;3.478
3559;3.499
1340;3.521
2669;3.542
4490;3.563
3228;3.586
2815;3.608
3891;3.629
3445;3.651
2876;3.672
5950;3.693
6699;3.715
6328;3.736
2807;3.758
2981;3.781
4881;3.804
1911;3.825
3317;3.847
2731;3.867
2449;3.889
1618;3.911
5062;3.933
4913;3.955
1300;3.977
4378;3.998
2332;4.02
2311;4.042
4711;4.063
4560;4.084
4132;4.105
5815;4.127
4057;4.147
4036;4.168
4491;4.191
4974;4.213
2731;4.234
2794;4.257
5285;4.281
3550;4.303
8408;4.325
2758;4.346
2896;4.369
5171;4.39
569;4.411
5231;4.433
4767;4.453
3893;4.475
5663;4.495
6218;4.52
2180;4.543
4340;4.566
2403;4.591
2981;4.613
4440;4.635
1201;4.656
4552;4.679
2232;4.701
5441;4.722
4904;4.743
2132;4.765
6667;4.786
4012;4.808
3227;4.831
520;4.852
4643;4.874
1403;4.898
6074;4.92
2144;4.941
4662;4.962
4754;4.985
632;5.006
2880;5.029
2886;5.052
1372;5.074
4313;5.096
5438;5.118
5380;5.14
2619;5.163
3992;5.184
1872;5.205
3276;5.228
4164;5.25
2140;5.271
3936;5.292
2692;5.314
5386;5.335
2744;5.357
2887;5.379
3984;5.4
1277;5.421
3156;5.443
3614;5.465
2562;5.486
2509;5.508
4340;5.529
1448;5.55
5250;5.572
7360;5.594
3347;5.616
4590;5.637
4849;5.658
4312;5.68
5039;5.701
3882;5.723
3695;5.745
2418;5.767
4232;5.789
2218;5.81
6720;5.833
3876;5.855
2553;5.878
3074;5.9
2654;5.922
2558;5.944
2361;5.965
3791;5.987
4464;6.01
3059;6.03
1917;6.052
3803;6.074
2102;6.096
7110;6.118
1902;6.14
2154;6.167
4517;6.197
3896;6.222
5332;6.244
3350;6.267
4108;6.289
5344;6.31
3149;6.333
1256;6.355
3604;6.379
5316;6.401
5882;6.423
3766;6.444
4432;6.466
4760;6.488
3309;6.509
2673;6.531
1844;6.552
3078;6.575
1454;6.596
1962;6.619
3111;6.642
3168;6.663
964;6.685
5338;6.707
4212;6.729
5200;6.751
1426;6.773
3481;6.795
5357;6.817
1619;6.838
2772;6.86
4595;6.881
3877;6.903
2453;6.924
1143;6.946
2282;6.968
2661;6.992
3160;7.015
4978;7.037
8120;7.059
3877;7.083
4250;7.105
3519;7.127
7061;7.149
1764;7.171
6055;7.193
5480;7.215
3704;7.237
2806;7.26
3103;7.281
4709;7.304
2948;7.326
3336;7.348
2084;7.369
4802;7.391
4664;7.413
2661;7.435
2940;7.457
1779;7.478
2781;7.5
2967;7.522
2302;7.545
5087;7.568
5130;7.591
4664;7.616
676;7.638
3304;7.66
1813;7.682
5535;7.703
2695;7.725
2463;7.747
3602;7.77
3406;7.791
3417;7.814
2485;7.837
3241;7.858
2653;7.881
3655;7.903
3013;7.925
834;7.948
4760;7.97
1290;7.993
4863;8.016
6203;8.037
3292;8.059
2327;8.082
2526;8.103
1954;8.125
559;8.149
1787;8.172
4358;8.194
2147;8.216
2112;8.238
2870;8.261
2491;8.282
527;8.305
2427;8.327
3654;8.349
4764;8.371
3684;8.393
3670;8.415
1413;8.436
2506;8.459
2672;8.48
641;8.502
3787;8.523
4836;8.545
5312;8.567
4702;8.588
2818;8.609
3948;8.632
3592;8.653
3572;8.675
2754;8.696
2510;8.718
4321;8.739
2674;8.76
2304;8.782
448;8.803
2355;8.824
5451;8.846
2176;8.867
3496;8.889
4035;8.91
2378;8.931
2218;8.953
2171;8.975
1522;8.996
1681;9.018
3967;9.039
3200;9.061
5584;9.084
4559;9.106
2738;9.128
434;9.149
4864;9.171
4509;9.191
3574;9.212
3678;9.237
2592;9.259
1976;9.282
1183;9.303
3840;9.324
4466;9.345
3709;9.368
2924;9.389
1730;9.411
2610;9.433
