penalt;running time
1230;0.019
869;0.022
728;0.022
687;0.023
621;0.023
547;0.024
526;0.025
510;0.025
393;0.026
369;0.027
366;0.029
355;0.029
321;0.03
295;0.032
258;0.032
257;0.033
250;0.036
243;0.039
242;0.04
240;0.042
238;0.893
236;0.896
232;0.896
230;0.897
228;0.897
226;0.898
224;0.898
216;0.898
212;0.898
210;0.899
208;0.902
204;0.905
202;0.915
200;0.92
186;0.921
180;0.921
178;0.924
176;0.927
174;0.929
172;0.931
170;0.931
168;0.939
164;0.945
162;0.946
144;0.953
140;0.956
138;0.956
136;0.959
134;0.966
132;0.978
