penalt;running time
12300;0.003
11423;0.011
11952;0.018
11374;0.024
11525;0.03
11418;0.034
11329;0.039
11716;0.044
11093;0.048
11164;0.054
10657;0.059
11114;0.063
10972;0.068
11256;0.075
11223;0.082
11283;0.088
11510;0.096
10655;0.103
11376;0.111
11621;0.118
10840;0.122
11614;0.127
10983;0.133
11753;0.139
10796;0.146
10969;0.154
11466;0.16
11480;0.168
10722;0.175
11216;0.182
10817;0.187
11702;0.191
11819;0.197
11042;0.205
11560;0.211
11273;0.218
11711;0.226
11462;0.23
10937;0.235
11705;0.24
11528;0.247
11613;0.255
11130;0.262
11376;0.269
11368;0.276
11815;0.284
11710;0.292
11428;0.299
11412;0.306
11159;0.312
11181;0.319
11621;0.327
11570;0.334
12056;0.341
11370;0.347
11420;0.355
10844;0.362
11654;0.369
11512;0.377
11318;0.383
11763;0.39
11238;0.395
10841;0.401
11271;0.408
11357;0.416
10829;0.422
11133;0.429
11434;0.437
10752;0.443
11611;0.45
11665;0.458
11562;0.465
11522;0.473
11512;0.48
11570;0.487
11173;0.494
11190;0.502
11170;0.508
11090;0.514
11073;0.518
11277;0.525
11624;0.533
11754;0.54
11003;0.547
11434;0.554
11170;0.562
11717;0.569
11861;0.573
11722;0.578
11962;0.583
11242;0.59
11523;0.597
11315;0.602
11412;0.607
11954;0.612
11722;0.618
10806;0.626
11603;0.633
11666;0.639
11112;0.647
11474;0.654
11121;0.661
11758;0.668
11236;0.676
11420;0.682
11315;0.686
11656;0.691
11215;0.698
10792;0.705
11618;0.711
11222;0.716
10970;0.721
11574;0.726
11626;0.733
11430;0.741
10982;0.748
11865;0.755
11224;0.762
11284;0.769
10971;0.776
11852;0.784
10880;0.79
11211;0.797
11232;0.804
10544;0.809
11460;0.813
11719;0.818
11469;0.823
11282;0.828
11414;0.833
11367;0.841
11572;0.847
11559;0.855
11422;0.861
11566;0.869
10989;0.877
11038;0.883
11225;0.891
10992;0.898
10944;0.905
11613;0.912
11318;0.919
11413;0.927
11282;0.934
11668;0.941
11477;0.947
11476;0.955
11361;0.961
11504;0.969
11601;0.975
10790;0.983
10926;0.99
11030;0.998
11616;1.005
11567;1.011
11565;1.019
11814;1.024
11129;1.029
10759;1.033
11510;1.039
11717;1.044
10988;1.048
11456;1.053
11720;1.061
11516;1.068
11419;1.075
11124;1.083
11562;1.09
11652;1.098
11620;1.105
10941;1.112
11568;1.12
11333;1.126
11464;1.133
10938;1.141
11117;1.147
11264;1.151
10828;1.156
11236;1.163
11614;1.167
10897;1.172
11900;1.179
11457;1.186
11470;1.192
11209;1.2
11244;1.207
11668;1.214
11230;1.221
11530;1.228
11426;1.236
11368;1.241
11461;1.246
11406;1.251
11664;1.256
11464;1.261
11410;1.265
11382;1.272
11466;1.279
11324;1.286
11660;1.294
10803;1.301
10838;1.308
11809;1.315
11514;1.322
11422;1.329
10923;1.336
11034;1.343
11620;1.35
11510;1.358
11369;1.365
11650;1.372
10472;1.38
